分类,名称,型号,图片数,粒子系统数,独立目录,源包
飞机图标,F4U海盗（VBF-94中队）,f4u94,1,0,battle-assets/飞机图标/aircrafticon__f4u94,aircrafticon/f4u94
飞机图标,B2O通行证 普林斯顿追加迎击战斗机,f6f,1,0,battle-assets/飞机图标/aircrafticon__f6f,aircrafticon/f6f
飞机图标,F7F虎猫,f7f,1,0,battle-assets/飞机图标/aircrafticon__f7f,aircrafticon/f7f
飞机图标,F8F熊猫,f8f,1,0,battle-assets/飞机图标/aircrafticon__f8f,aircrafticon/f8f
飞机图标,试作型F8F熊猫（浮筒型）,f8ffloat,1,0,battle-assets/飞机图标/aircrafticon__f8ffloat,aircrafticon/f8ffloat
飞机图标,默认鸢尾水侦,fba19,1,0,battle-assets/飞机图标/aircrafticon__fba19,aircrafticon/fba19
飞机图标,绊爱技能轰炸机Lv1,feiji_ai_aijiang,1,0,battle-assets/飞机图标/aircrafticon__feiji_ai_aijiang,aircrafticon/feiji_ai_aijiang
飞机图标,【绊爱联动】空袭 鱼雷机,feiji_ai_gamer,1,0,battle-assets/飞机图标/aircrafticon__feiji_ai_gamer,aircrafticon/feiji_ai_gamer
飞机图标,【绊爱联动】空袭 战斗机,feiji_ai_perform,1,0,battle-assets/飞机图标/aircrafticon__feiji_ai_perform,aircrafticon/feiji_ai_perform
飞机图标,【2025曾克SP活动】航母轰炸机 Lv1,feiji_diezhan,1,0,battle-assets/飞机图标/aircrafticon__feiji_diezhan,aircrafticon/feiji_diezhan
飞机图标,【偶像活动通用】量产型航空母舰(μ) 轰炸机 Lv1,feiji_djtai,1,0,battle-assets/飞机图标/aircrafticon__feiji_djtai,aircrafticon/feiji_djtai
飞机图标,【2026DOA三期EX普通】BOSS 伊莉丝 常驻轰炸机,feiji_dujiajiu1,1,0,battle-assets/飞机图标/aircrafticon__feiji_dujiajiu1,aircrafticon/feiji_dujiajiu1
飞机图标,【2026本宁顿活动A3】BOSS 情绪掠影航母 舰载机,feiji_emotion,1,0,battle-assets/飞机图标/aircrafticon__feiji_emotion,aircrafticon/feiji_emotion
飞机图标,【2025拉斐尔活动】我方支援弹幕 飞空艇 飞机,feiji_feikongchuan,1,0,battle-assets/飞机图标/aircrafticon__feiji_feikongchuan,aircrafticon/feiji_feikongchuan
飞机图标,【2025医院活动ESP】BOSS 哈尔福德 战斗机,feiji_ghost2,1,0,battle-assets/飞机图标/aircrafticon__feiji_ghost2,aircrafticon/feiji_ghost2
飞机图标,【2024风帆二期】骸骨兽航母 飞鱼舰载机（快速冲底） Lv1,feiji_haigushou01,1,0,battle-assets/飞机图标/aircrafticon__feiji_haigushou01,aircrafticon/feiji_haigushou01
飞机图标,【2024风帆二期】（换皮）灵体骸骨兽航母 飞鱼舰载机（快速冲底） Lv1,feiji_haigushou02,1,0,battle-assets/飞机图标/aircrafticon__feiji_haigushou02,aircrafticon/feiji_haigushou02
飞机图标,【2026本宁顿活动B3】BOSS 噩梦结晶-「执棋型BHR」 轰炸机,feiji_haorenlichade_m,1,0,battle-assets/飞机图标/aircrafticon__feiji_haorenlichade_m,aircrafticon/feiji_haorenlichade_m
飞机图标,【2024阿尔萨斯活动B3】BOSS 旗风 第二波 辉光 辉光结晶飞机 冲底（血少）,feiji_huiguangzhihe,1,0,battle-assets/飞机图标/aircrafticon__feiji_huiguangzhihe,aircrafticon/feiji_huiguangzhihe
飞机图标,白上吹雪狐笋轰炸机Lv1,feiji_hulifeiji,1,0,battle-assets/飞机图标/aircrafticon__feiji_hulifeiji,aircrafticon/feiji_hulifeiji
飞机图标,【2024春节共斗 EX难度】关卡仙鹤飞机空袭 战斗机,feiji_hunianxianhe_small,1,0,battle-assets/飞机图标/aircrafticon__feiji_hunianxianhe_small,aircrafticon/feiji_hunianxianhe_small
飞机图标,【2025拉斐尔活动】撒丁尼亚联盟航空母舰 轰炸机 Lv1,feiji_jiaotang_white,1,0,battle-assets/飞机图标/aircrafticon__feiji_jiaotang_white,aircrafticon/feiji_jiaotang_white
飞机图标,【2024异世界冒险】魔法啾莱姆 轰炸机 Lv1,feiji_jiulaimu,1,0,battle-assets/飞机图标/aircrafticon__feiji_jiulaimu,aircrafticon/feiji_jiulaimu
飞机图标,【2026DOA三期活动】假日花船 航母战斗机 Lv1,feiji_jiushengquan,1,0,battle-assets/飞机图标/aircrafticon__feiji_jiushengquan,aircrafticon/feiji_jiushengquan
飞机图标,如月千早集束飞机Lv1,feiji_ouxiangfeiji,1,0,battle-assets/飞机图标/aircrafticon__feiji_ouxiangfeiji,aircrafticon/feiji_ouxiangfeiji
飞机图标,如月千早空艇Lv1,feiji_ouxiangfeiting,1,0,battle-assets/飞机图标/aircrafticon__feiji_ouxiangfeiting,aircrafticon/feiji_ouxiangfeiting
飞机图标,【2026云龙SP活动】航母轰炸机 Lv1,feiji_tegongtu,1,0,battle-assets/飞机图标/aircrafticon__feiji_tegongtu,aircrafticon/feiji_tegongtu
飞机图标,【量产型】未知X拟态-航母舰载机（飞机弹幕很弱但高频率冲底） Lv1,feiji_unknownv01,1,0,battle-assets/飞机图标/aircrafticon__feiji_unknownv01,aircrafticon/feiji_unknownv01
飞机图标,【量产型】未知X结晶-航母舰载机（随时间推移加快发射频率） Lv1,feiji_unknownv02,1,0,battle-assets/飞机图标/aircrafticon__feiji_unknownv02,aircrafticon/feiji_unknownv02
飞机图标,【量产型】未知X拟态II类-航母舰载机 Lv1,feiji_unknownv03,1,0,battle-assets/飞机图标/aircrafticon__feiji_unknownv03,aircrafticon/feiji_unknownv03
飞机图标,坠星机LV1,feiji_weixingbanwu,1,0,battle-assets/飞机图标/aircrafticon__feiji_weixingbanwu,aircrafticon/feiji_weixingbanwu
飞机图标,定安戊型水上机Lv1,feiji_wuxing,1,0,battle-assets/飞机图标/aircrafticon__feiji_wuxing,aircrafticon/feiji_wuxing
飞机图标,飞龙,feilong,1,0,battle-assets/飞机图标/aircrafticon__feilong,aircrafticon/feilong
飞机图标,Fi-167舰载鱼雷机,fi167,1,0,battle-assets/飞机图标/aircrafticon__fi167,aircrafticon/fi167
飞机图标,金狮 定点空袭,fktv,1,0,battle-assets/飞机图标/aircrafticon__fktv,aircrafticon/fktv
飞机图标,科隆改直升机Lv1,fl-282,1,0,battle-assets/飞机图标/aircrafticon__fl-282,aircrafticon/fl-282
飞机图标,【大舰队北方商路BOSS】测试者 浮游炮,fuyoupao,1,0,battle-assets/飞机图标/aircrafticon__fuyoupao,aircrafticon/fuyoupao
飞机图标,【大舰队米德维BOSS】执棋者 浮游炮1,fuyoupao2,1,0,battle-assets/飞机图标/aircrafticon__fuyoupao2,aircrafticon/fuyoupao2
飞机图标,【精英】执棋者IV型 浮游炮 I,fuyoupao4,1,0,battle-assets/飞机图标/aircrafticon__fuyoupao4,aircrafticon/fuyoupao4
飞机图标,试作型舰载FW-190 A-5,fw190a5,1,0,battle-assets/飞机图标/aircrafticon__fw190a5,aircrafticon/fw190a5
飞机图标,试作舰载型FW-190 A-6/R6,fw190a6,1,0,battle-assets/飞机图标/aircrafticon__fw190a6,aircrafticon/fw190a6
飞机图标,FW-190 F-8/U2,fw190f8,1,0,battle-assets/飞机图标/aircrafticon__fw190f8,aircrafticon/fw190f8
飞机图标,试作舰载型FW-190 G-3/R1,fw190g3,1,0,battle-assets/飞机图标/aircrafticon__fw190g3,aircrafticon/fw190g3
飞机图标,默认撒丁战斗机,g50,1,0,battle-assets/飞机图标/aircrafticon__g50,aircrafticon/g50
飞机图标,【2022意大利活动】通用战斗机 I,ghostfeiji,1,0,battle-assets/飞机图标/aircrafticon__ghostfeiji,aircrafticon/ghostfeiji
飞机图标,默认鸢尾战斗机,gl2,1,0,battle-assets/飞机图标/aircrafticon__gl2,aircrafticon/gl2
飞机图标,伊25技能零侦LV1,glen,1,0,battle-assets/飞机图标/aircrafticon__glen,aircrafticon/glen
飞机图标,新条茜-instance-特殊飞机 Lv1,gulite_feiji,1,0,battle-assets/飞机图标/aircrafticon__gulite_feiji,aircrafticon/gulite_feiji
飞机图标,海豹轰炸机,haibao_hongzha,1,0,battle-assets/飞机图标/aircrafticon__haibao_hongzha,aircrafticon/haibao_hongzha
飞机图标,海豹鱼雷机,haibao_yulei,1,0,battle-assets/飞机图标/aircrafticon__haibao_yulei,aircrafticon/haibao_yulei
飞机图标,海大黄蜂,haidahuangfeng,1,0,battle-assets/飞机图标/aircrafticon__haidahuangfeng,aircrafticon/haidahuangfeng
飞机图标,海斗士,haidoushi,1,0,battle-assets/飞机图标/aircrafticon__haidoushi,aircrafticon/haidoushi
飞机图标,海毒牙,haiduya,1,0,battle-assets/飞机图标/aircrafticon__haiduya,aircrafticon/haiduya
飞机图标,海飓风,haijufeng,1,0,battle-assets/飞机图标/aircrafticon__haijufeng,aircrafticon/haijufeng
飞机图标,海怒,hainu,1,0,battle-assets/飞机图标/aircrafticon__hainu,aircrafticon/hainu
飞机图标,默认皇家战斗机,haipenhuo,1,0,battle-assets/飞机图标/aircrafticon__haipenhuo,aircrafticon/haipenhuo
飞机图标,海喷火FR.47,haipenhuofr47,1,0,battle-assets/飞机图标/aircrafticon__haipenhuofr47,aircrafticon/haipenhuofr47
飞机图标,海燕,haiyan,1,0,battle-assets/飞机图标/aircrafticon__haiyan,aircrafticon/haiyan
飞机图标,He-50b舰载轰炸机,he50b,1,0,battle-assets/飞机图标/aircrafticon__he50b,aircrafticon/he50b
飞机图标,彗星,huixing,1,0,battle-assets/飞机图标/aircrafticon__huixing,aircrafticon/huixing
飞机图标,彗星一二型甲,huixing12jia,1,0,battle-assets/飞机图标/aircrafticon__huixing12jia,aircrafticon/huixing12jia
飞机图标,彗星二一型,huixing21,1,0,battle-assets/飞机图标/aircrafticon__huixing21,aircrafticon/huixing21
飞机图标,火把,huoba,1,0,battle-assets/飞机图标/aircrafticon__huoba,aircrafticon/huoba
飞机图标,火冠,huoguan,1,0,battle-assets/飞机图标/aircrafticon__huoguan,aircrafticon/huoguan
飞机图标,【2021岛风活动剧情】BOSS 白龙 特殊航空弹幕 天雷轰炸机,huoyanshishen,1,0,battle-assets/飞机图标/aircrafticon__huoyanshishen,aircrafticon/huoyanshishen
飞机图标,I-15,i15,1,0,battle-assets/飞机图标/aircrafticon__i15,aircrafticon/i15
飞机图标,默认皇家鱼雷机,jianyu,1,0,battle-assets/飞机图标/aircrafticon__jianyu,aircrafticon/jianyu
飞机图标,剑鱼(818中队),jianyu810,1,0,battle-assets/飞机图标/aircrafticon__jianyu810,aircrafticon/jianyu810
飞机图标,追赶者剑鱼 Lv1,jianyu816,1,0,battle-assets/飞机图标/aircrafticon__jianyu816,aircrafticon/jianyu816
飞机图标,剑鱼Mark.II-ASV,jianyuasv,1,0,battle-assets/飞机图标/aircrafticon__jianyuasv,aircrafticon/jianyuasv
飞机图标,Ju-87C俯冲轰炸机T1,ju87c,1,0,battle-assets/飞机图标/aircrafticon__ju87c,aircrafticon/ju87c
飞机图标,Ju-87 D-4,ju87d4,1,0,battle-assets/飞机图标/aircrafticon__ju87d4,aircrafticon/ju87d4
飞机图标,德系陆航轰炸机I,ju88a,1,0,battle-assets/飞机图标/aircrafticon__ju88a,aircrafticon/ju88a
飞机图标,【2026莫斯科UR活动】东煌风味 航母战斗机 Lv1,kezhan_feiji01,1,0,battle-assets/飞机图标/aircrafticon__kezhan_feiji01,aircrafticon/kezhan_feiji01
飞机图标,【2026莫斯科UR活动】东煌风味 航母轰炸机 Lv1,kezhan_feiji02,1,0,battle-assets/飞机图标/aircrafticon__kezhan_feiji02,aircrafticon/kezhan_feiji02
飞机图标,试作舰载型La-9,la9,1,0,battle-assets/飞机图标/aircrafticon__la9,aircrafticon/la9
飞机图标,late299,late299,1,0,battle-assets/飞机图标/aircrafticon__late299,aircrafticon/late299
飞机图标,LBSh攻击机,lbsh,1,0,battle-assets/飞机图标/aircrafticon__lbsh,aircrafticon/lbsh
飞机图标,LGL.32,lgl32,1,0,battle-assets/飞机图标/aircrafticon__lgl32,aircrafticon/lgl32
飞机图标,烈风,liefeng,1,0,battle-assets/飞机图标/aircrafticon__liefeng,aircrafticon/liefeng
飞机图标,零战二一型,lingzhan21,1,0,battle-assets/飞机图标/aircrafticon__lingzhan21,aircrafticon/lingzhan21
飞机图标,日系舰载战斗机I,lingzhan21gai,1,0,battle-assets/飞机图标/aircrafticon__lingzhan21gai,aircrafticon/lingzhan21gai
飞机图标,零战三二型,lingzhan32,1,0,battle-assets/飞机图标/aircrafticon__lingzhan32,aircrafticon/lingzhan32
飞机图标,零战五二型,lingzhan52,1,0,battle-assets/飞机图标/aircrafticon__lingzhan52,aircrafticon/lingzhan52
飞机图标,流星,liuxing,1,0,battle-assets/飞机图标/aircrafticon__liuxing,aircrafticon/liuxing
飞机图标,流星改,liuxing_g,1,0,battle-assets/飞机图标/aircrafticon__liuxing_g,aircrafticon/liuxing_g
飞机图标,霞飞鱼雷机弹幕Lv1,ln401,1,0,battle-assets/飞机图标/aircrafticon__ln401,aircrafticon/ln401
飞机图标,LN.401,ln401e,1,0,battle-assets/飞机图标/aircrafticon__ln401e,aircrafticon/ln401e
飞机图标,Me-155A舰载战斗机T1,me155a,1,0,battle-assets/飞机图标/aircrafticon__me155a,aircrafticon/me155a
飞机图标,宝石枪雨LV0,nep_green,1,0,battle-assets/飞机图标/aircrafticon__nep_green,aircrafticon/nep_green
飞机图标,【量产型】大洋联邦-喷气式舰载机 I,ofs_penqishifeiji,1,0,battle-assets/飞机图标/aircrafticon__ofs_penqishifeiji,aircrafticon/ofs_penqishifeiji
飞机图标,【量产型】大洋联邦-中小型舰船悬浮无人机 I,ofs_xuanfufeiji,1,0,battle-assets/飞机图标/aircrafticon__ofs_xuanfufeiji,aircrafticon/ofs_xuanfufeiji
飞机图标,【量产型】大洋联邦-快速冲底自爆无人机 I,ofs_zibaofeiji,1,0,battle-assets/飞机图标/aircrafticon__ofs_zibaofeiji,aircrafticon/ofs_zibaofeiji
飞机图标,库珀反潜PBY-Lv1,pby,1,0,battle-assets/飞机图标/aircrafticon__pby,aircrafticon/pby
飞机图标,pl10,pl10,1,0,battle-assets/飞机图标/aircrafticon__pl10,aircrafticon/pl10
飞机图标,默认鸢尾鱼雷机,pl7,1,0,battle-assets/飞机图标/aircrafticon__pl7,aircrafticon/pl7
飞机图标,【2024幼儿园活动 普通】BOSS 航母石膏喵  轰炸纸飞机,plane_sakura,1,0,battle-assets/飞机图标/aircrafticon__plane_sakura,aircrafticon/plane_sakura
飞机图标,【2022愚人节】金布里鱼雷机,plane_zhifeiji,1,0,battle-assets/飞机图标/aircrafticon__plane_zhifeiji,aircrafticon/plane_zhifeiji
飞机图标,默认北联战斗机,pt1,1,0,battle-assets/飞机图标/aircrafticon__pt1,aircrafticon/pt1
飞机图标,强风,qiangfeng,1,0,battle-assets/飞机图标/aircrafticon__qiangfeng,aircrafticon/qiangfeng
飞机图标,【战术研修】【关卡飞机】空袭鱼雷机,qibolin,1,0,battle-assets/飞机图标/aircrafticon__qibolin,aircrafticon/qibolin
飞机图标,青花鱼,qinghuayu,1,0,battle-assets/飞机图标/aircrafticon__qinghuayu,aircrafticon/qinghuayu
飞机图标,晴岚,qinglan,1,0,battle-assets/飞机图标/aircrafticon__qinglan,aircrafticon/qinglan
飞机图标,旗鱼,qiyu,1,0,battle-assets/飞机图标/aircrafticon__qiyu,aircrafticon/qiyu
飞机图标,R-5轰炸机,r5,1,0,battle-assets/飞机图标/aircrafticon__r5,aircrafticon/r5
飞机图标,默认撒丁鱼雷机,re2001,1,0,battle-assets/飞机图标/aircrafticon__re2001,aircrafticon/re2001
飞机图标,默认潜母水侦,ruiyun,1,0,battle-assets/飞机图标/aircrafticon__ruiyun,aircrafticon/ruiyun
飞机图标,量产型塞壬航母IV型轰炸机T1 (飞机 I,sairenfeiji_6,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_6,aircrafticon/sairenfeiji_6
飞机图标,【2023克莱蒙梭活动A1A2】BOSS 迪洛伊 第四波 全屏白色羽毛 隐形飞机,sairenfeiji_jiaohuang,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_jiaohuang,aircrafticon/sairenfeiji_jiaohuang
飞机图标,【2023克莱蒙梭活动SP】BOSS 审判机甲-支配 第二波 审判型舰载机,sairenfeiji_jiaotang,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_jiaotang,aircrafticon/sairenfeiji_jiaotang
飞机图标,【2022莱莎联动T1】航母蛋船轰炸机,sairenfeiji_lianjin,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_lianjin,aircrafticon/sairenfeiji_lianjin
飞机图标,【2025优米雅联动 TS5】BOSS 炼金武装航母 轰炸机,sairenfeiji_lianjin_ii,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_lianjin_ii,aircrafticon/sairenfeiji_lianjin_ii
飞机图标,【2021意大利活动B】塞壬航母R型轰炸机,sairenfeiji_r,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_r,aircrafticon/sairenfeiji_r
飞机图标,【2023闪乱联动T4】BOSS 战忍机铠人形航母 轰炸机,sairenfeiji_shanluan,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_shanluan,aircrafticon/sairenfeiji_shanluan
飞机图标,【2024tolove联动】航母蛋船轰炸机 Lv1,sairenfeiji_tolove,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_tolove,aircrafticon/sairenfeiji_tolove
飞机图标,【2025荷兰SP活动T3】BOSS 「福尔尼德」 舰载机,sairenfeiji_unknown3,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_unknown3,aircrafticon/sairenfeiji_unknown3
飞机图标,大凤META舰载机Lv1,sairenfeiji_wuxing,1,0,battle-assets/飞机图标/aircrafticon__sairenfeiji_wuxing,aircrafticon/sairenfeiji_wuxing
飞机图标,SB2C地狱俯冲者,sb2c,1,0,battle-assets/飞机图标/aircrafticon__sb2c,aircrafticon/sb2c
飞机图标,默认白鹰轰炸机,sbdwuwei,1,0,battle-assets/飞机图标/aircrafticon__sbdwuwei,aircrafticon/sbdwuwei
飞机图标,SBD-3无畏(麦克拉斯基队),sbdwuwei_2,1,0,battle-assets/飞机图标/aircrafticon__sbdwuwei_2,aircrafticon/sbdwuwei_2
飞机图标,圣诞老啾(轰炸),shengdan_feiji,1,0,battle-assets/飞机图标/aircrafticon__shengdan_feiji,aircrafticon/shengdan_feiji
飞机图标,塞壬飞机,shenhaifeiji,1,0,battle-assets/飞机图标/aircrafticon__shenhaifeiji,aircrafticon/shenhaifeiji
飞机图标,信浓技能试制紫电改二 LV1,shizhizidiangaier,1,0,battle-assets/飞机图标/aircrafticon__shizhizidiangaier,aircrafticon/shizhizidiangaier
飞机图标,【2021意大利活动】我方支援飞机B3,sm79,1,0,battle-assets/飞机图标/aircrafticon__sm79,aircrafticon/sm79
飞机图标,契卡洛夫技能轰炸机Lv1,su2,1,0,battle-assets/飞机图标/aircrafticon__su2,aircrafticon/su2
飞机图标,试作舰载型Su-6,su6,1,0,battle-assets/飞机图标/aircrafticon__su6,aircrafticon/su6
飞机图标,梭鱼,suoyu,1,0,battle-assets/飞机图标/aircrafticon__suoyu,aircrafticon/suoyu
飞机图标,梭鱼(831中队),suoyu831,1,0,battle-assets/飞机图标/aircrafticon__suoyu831,aircrafticon/suoyu831
飞机图标,试作舰载型Ta 152C-1/R14,ta152cr14,1,0,battle-assets/飞机图标/aircrafticon__ta152cr14,aircrafticon/ta152cr14
飞机图标,塘鹅,tange,1,0,battle-assets/飞机图标/aircrafticon__tange,aircrafticon/tange
飞机图标,默认白鹰鱼雷机,tbd,1,0,battle-assets/飞机图标/aircrafticon__tbd,aircrafticon/tbd
飞机图标,TBD蹂躏者(VT-8中队),tbdvt-8,1,0,battle-assets/飞机图标/aircrafticon__tbdvt-8,aircrafticon/tbdvt-8
飞机图标,TBF复仇者,tbf,1,0,battle-assets/飞机图标/aircrafticon__tbf,aircrafticon/tbf
飞机图标,TBM-3复仇者,tbm-3,1,0,battle-assets/飞机图标/aircrafticon__tbm-3,aircrafticon/tbm-3
飞机图标,TBM复仇者(VT-18中队),tbmvt-18,1,0,battle-assets/飞机图标/aircrafticon__tbmvt-18,aircrafticon/tbmvt-18
飞机图标,TBM复仇者(VT-51),tbmvt-51,1,0,battle-assets/飞机图标/aircrafticon__tbmvt-51,aircrafticon/tbmvt-51
飞机图标,天雷,tianlei,1,0,battle-assets/飞机图标/aircrafticon__tianlei,aircrafticon/tianlei
飞机图标,天山,tianshan,1,0,battle-assets/飞机图标/aircrafticon__tianshan,aircrafticon/tianshan
飞机图标,天山改,tianshangai,1,0,battle-assets/飞机图标/aircrafticon__tianshangai,aircrafticon/tianshangai
飞机图标,阿尔比恩天袭者预警机,tianxizhe,1,0,battle-assets/飞机图标/aircrafticon__tianxizhe,aircrafticon/tianxizhe
飞机图标,大黄蜂meta 空袭 UDF战斗机 LV1,udf_feiji01,1,0,battle-assets/飞机图标/aircrafticon__udf_feiji01,aircrafticon/udf_feiji01
飞机图标,【量产型】联合防卫部队-航母综合无人机 Lv1,udf_feiji02,1,0,battle-assets/飞机图标/aircrafticon__udf_feiji02,aircrafticon/udf_feiji02
飞机图标,【量产型】联合防卫部队-维修中心无人机（源源不断）Lv1,udf_feiji03,1,0,battle-assets/飞机图标/aircrafticon__udf_feiji03,aircrafticon/udf_feiji03
飞机图标,【2025列克星敦II活动B3】BOSS 拟态兽-魔术师 常驻舰载机,unknownv_boss_magician_feiji,1,0,battle-assets/飞机图标/aircrafticon__unknownv_boss_magician_feiji,aircrafticon/unknownv_boss_magician_feiji
飞机图标,【2026伯利欣根活动B2】BOSS 恶念残影航母 舰载机,unknownv_mal_feiji,1,0,battle-assets/飞机图标/aircrafticon__unknownv_mal_feiji,aircrafticon/unknownv_mal_feiji
飞机图标,贝亚恩V-156F-LV1,v156f,1,0,battle-assets/飞机图标/aircrafticon__v156f,aircrafticon/v156f
飞机图标,V-156-F,v156f3,1,0,battle-assets/飞机图标/aircrafticon__v156f3,aircrafticon/v156f3
飞机图标,埃佛森技能侦察机,vbwa,1,0,battle-assets/飞机图标/aircrafticon__vbwa,aircrafticon/vbwa
飞机图标,契卡洛夫技能鱼雷机,vit2,1,0,battle-assets/飞机图标/aircrafticon__vit2,aircrafticon/vit2
飞机图标,试作型VIT-2（模式调整）,vit2jishu,1,0,battle-assets/飞机图标/aircrafticon__vit2jishu,aircrafticon/vit2jishu
飞机图标,试作型XF2A-4水牛,xf2a4,1,0,battle-assets/飞机图标/aircrafticon__xf2a4,aircrafticon/xf2a4
飞机图标,XF5F天箭,xf5f,1,0,battle-assets/飞机图标/aircrafticon__xf5f,aircrafticon/xf5f
飞机图标,试作型XF5U飞碟,xf5u,1,0,battle-assets/飞机图标/aircrafticon__xf5u,aircrafticon/xf5u
飞机图标,咸鱼轰炸机,xianyu_hongzha,1,0,battle-assets/飞机图标/aircrafticon__xianyu_hongzha,aircrafticon/xianyu_hongzha
飞机图标,咸鱼鱼雷机,xianyu_yulei,1,0,battle-assets/飞机图标/aircrafticon__xianyu_yulei,aircrafticon/xianyu_yulei
飞机图标,纸鹤轰炸机,xinnian_feiji,1,0,battle-assets/飞机图标/aircrafticon__xinnian_feiji,aircrafticon/xinnian_feiji
飞机图标,实验型XSB3C-1,xsb3c1,1,0,battle-assets/飞机图标/aircrafticon__xsb3c1,aircrafticon/xsb3c1
飞机图标,XTB2D-1天空海盗,xtb2d1,1,0,battle-assets/飞机图标/aircrafticon__xtb2d1,aircrafticon/xtb2d1
飞机图标,Yak-1,yak1,1,0,battle-assets/飞机图标/aircrafticon__yak1,aircrafticon/yak1
